"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01006198","Greater Manchester","Trafford 009A",18.27,3,5,15523,"B","North West",18.27,15354,0.12,15771,0.09,14359,0.35,10980,8.59,22996,10.31,27420,0.51,8922,32.72,7414,28.9,8943,40.35,5269,1.8,30010,18.82,14097,4.49,26649,12.7,18519,0.08,23911,0.27,8407
"E01006199","Greater Manchester","Trafford 009B",22.97,2,4,12044,"B","North West",22.97,11915,0.16,11398,0.12,10087,0.74,6476,21.77,12330,9.2,28479,-0.27,20307,29.19,8851,30.29,8394,26.99,9752,8.77,22055,9.63,21224,25.56,10408,17.98,14635,0.23,11631,0.29,7315
"E01006200","Greater Manchester","Trafford 009C",26.75,2,4,9856,"B","North West",26.75,9756,0.15,12091,0.12,9957,0.33,11317,13.98,17980,17.29,19598,1.75,439,21.36,12966,20.54,13046,22.99,11686,14.51,17083,20.07,13326,9.52,21330,18.44,14335,0.17,14924,0.25,9823
"E01006201","Greater Manchester","Trafford 009D",16.58,3,6,17027,"B","North West",16.58,16849,0.1,17384,0.09,14031,0.15,13873,6.69,25183,10.29,27435,0.53,8670,28.73,9036,26.69,9888,32.8,7481,4.59,26532,15.99,15992,6.22,24690,7.16,23677,0.07,24792,0.26,9050
"E01006202","Greater Manchester","Trafford 009E",16.21,3,6,17357,"B","North West",16.21,17171,0.08,20913,0.11,11098,0.28,11992,3.52,28850,13.8,23679,-0.16,18586,35.07,6572,37.15,6119,30.9,8163,7.04,23811,20.57,13030,1.67,30176,5.37,25635,0.08,23668,0.1,24769
"E01006203","Greater Manchester","Trafford 010E",5.92,5,9,29378,"B","North West",5.92,29064,0.04,28383,0.06,22808,-0.48,22744,5.13,26941,10.22,27494,-0.8,26920,12.76,19993,12.74,18487,12.8,18437,16.19,15853,4.26,26922,1.53,30366,8.73,22093,0.04,29058,0.11,23199
"E01006204","Greater Manchester","Trafford 022A",7.73,5,9,27205,"B","North West",7.73,26925,0.06,25766,0.06,22374,-0.42,21879,2.84,29627,6.41,30625,0.1,14815,16.22,16795,11.58,19468,25.51,10432,5.9,25036,6.91,23939,0.34,31998,5.35,25657,0.04,28881,0.1,24899
"E01006205","Greater Manchester","Trafford 023D",7.5,5,9,27468,"B","North West",7.5,27186,0.04,28711,0.06,21717,-0.11,17577,2.81,29655,15.01,22322,-0.58,24465,15.19,17664,8.87,21953,27.84,9384,23.49,11425,6.52,24356,0.24,32138,5.38,25614,0.03,30714,0.09,25858
"E01006206","Greater Manchester","Trafford 022B",17.24,3,5,16418,"B","North West",17.24,16245,0.16,11500,0.09,14632,0.35,11070,13.59,18317,11.19,26536,0.23,13021,8.56,24561,5.58,25399,14.53,17073,11.88,19204,10.5,20422,12.03,19081,15.15,16603,0.21,12515,0.27,8340
"E01006207","Greater Manchester","Trafford 022C",46.14,1,1,2960,"B","North West",46.14,2963,0.3,3786,0.23,1678,1.52,1393,32.38,7487,15.96,21218,1.25,1966,15.78,17159,20.04,13344,7.27,23570,15.24,16540,16.67,15515,34.08,7053,30.69,8242,0.39,5013,0.37,4127
"E01006208","Greater Manchester","Trafford 022D",18.53,3,5,15306,"B","North West",18.53,15149,0.17,10962,0.11,11655,0.3,11738,11.39,20249,11.47,26269,0.17,13872,13.44,19331,8.98,21842,22.36,12023,13.04,18241,9.89,20978,12.05,19065,10.73,20212,0.24,10916,0.18,15117
"E01006209","Greater Manchester","Trafford 023E",6.99,5,9,28123,"B","North West",6.99,27835,0.05,26775,0.07,20162,-0.22,19133,2.19,30408,13.87,23602,-1.32,30770,12.24,20485,8.67,22151,19.38,13745,23.99,11173,3.76,27524,0.12,32311,4.25,26931,0.04,28862,0.09,26195
"E01006210","Greater Manchester","Trafford 021E",10.5,4,8,23592,"B","North West",10.5,23363,0.06,24033,0.08,15685,0.34,11090,2.2,30388,16.79,20209,-1.04,29010,8.31,24833,6.57,24301,11.79,19282,26.66,9900,6.91,23944,0.56,31686,3.84,27429,0.04,28890,0.11,23685
"E01006211","Greater Manchester","Trafford 022E",26.12,2,4,10189,"B","North West",26.12,10087,0.18,10210,0.14,7192,0.8,5857,16.16,16170,15.77,21453,0.53,8667,20.17,13714,14.71,16935,31.1,8087,18.99,13987,12.55,18648,14.5,17092,17.81,14744,0.19,13731,0.27,8364
"E01006212","Greater Manchester","Wigan 026A",18.62,3,5,15241,"B","North West",18.62,15085,0.1,17373,0.11,10312,0.15,13840,23.86,11130,15.89,21299,0.47,9532,6.14,27502,6.81,24051,4.79,26292,23.3,11526,8.49,22326,15.03,16695,32.7,7516,0.12,18684,0.18,14987
